timestamp,speed,obstacle_distance,time_to_collision,emergency_brake
0.0,15.0,42.0,2.8,0
1.0,15.16,41.92,2.7651715039577835,0
2.0,15.26,41.78,2.7378768020969857,0
3.0,15.32,41.63,2.7173629242819843,0
4.0,15.38,41.49,2.697659297789337,0
5.0,15.43,41.36,2.68049254698639,0
6.0,15.47,41.24,2.665804783451842,0
7.0,15.51,41.12,2.6511927788523533,0
8.0,15.54,41.02,2.6396396396396398,0
9.0,15.57,40.92,2.628131021194605,0
10.0,15.58,40.82,2.6200256739409498,0
11.0,15.59,40.73,2.612572161642078,0
12.0,15.59,40.64,2.606799230275818,0
13.0,15.58,40.55,2.602695763799743,0
14.0,15.56,40.46,2.60025706940874,0
15.0,15.53,40.37,2.599484867997424,0
16.0,15.49,40.28,2.6003873466752743,0
17.0,15.44,40.2,2.6036269430051817,0
18.0,15.38,40.11,2.607932379713914,0
19.0,15.32,40.03,2.612924281984334,0
20.0,15.25,39.96,2.620327868852459,0
21.0,15.17,39.89,2.6295319709953855,0
22.0,15.1,39.82,2.637086092715232,0
23.0,15.02,39.76,2.6471371504660453,0
24.0,14.94,39.71,2.6579651941097726,0
25.0,14.86,39.67,2.669582772543742,0
26.0,14.79,39.63,2.6795131845841786,0
27.0,14.72,39.6,2.6902173913043477,0
28.0,14.66,39.59,2.7005457025920876,0
29.0,14.6,39.58,2.710958904109589,0
30.0,14.55,39.58,2.7202749140893467,0
31.0,14.51,39.59,2.728463128876637,0
32.0,14.49,39.61,2.7336093857832986,0
33.0,14.47,39.64,2.7394609536973045,0
34.0,14.46,39.68,2.744121715076072,0
35.0,14.46,39.72,2.746887966804979,0
36.0,14.48,39.77,2.746546961325967,0
37.0,14.5,39.83,2.746896551724138,0
38.0,14.54,39.88,2.742778541953233,0
39.0,14.58,39.94,2.7393689986282577,0
40.0,14.64,40.01,2.7329234972677594,0
41.0,14.7,40.07,2.7258503401360548,0
42.0,14.77,40.13,2.7169939065673665,0
43.0,14.84,40.19,2.70822102425876,0
44.0,14.91,40.24,2.698859825620389,0
45.0,14.99,40.29,2.687791861240827,0
46.0,15.07,40.34,2.676841406768414,0
47.0,15.14,40.38,2.667107001321004,0
